timestamp,state,x,y
1680002204782,0,935.6702,424.5161
1680002204789,0,935.6702,424.5161
1680002204803,0,935.6706,427.7695
1680002204816,0,935.6705,429.3999
1680002204830,0,935.6704,432.6533
1680002204845,0,935.6703,434.2768
1680002204858,0,935.67,437.5305
1680002204872,0,935.6704,439.154
1680002204886,0,935.6704,439.154
1680002204900,0,935.6704,439.154
1680002204914,0,935.6704,439.154
1680002204929,0,935.6704,439.154
1680002204943,0,935.6704,439.154
1680002204956,0,935.6704,439.154
1680002204970,0,935.6704,439.154
1680002204984,0,935.6704,439.154
1680002204998,0,935.6704,439.154
1680002205012,0,935.6704,439.154
1680002205026,0,935.6704,439.154
1680002205040,0,935.6704,439.154
1680002205054,0,935.6704,439.154
1680002205069,0,935.6704,439.154
1680002205082,0,935.6704,439.154
1680002205096,0,935.6704,439.154
1680002205111,0,935.6704,439.154
1680002205124,0,935.6704,439.154
1680002205139,0,935.6704,439.154
1680002205152,0,935.6704,439.154
1680002205167,0,935.6704,439.154
1680002205181,0,935.6704,439.154
1680002205195,0,935.6704,439.154
1680002205209,0,935.6704,439.154
1680002205223,0,935.6704,439.154
1680002205237,0,935.6704,439.154
1680002205251,0,935.6704,439.154
1680002205265,0,935.6704,439.154
1680002205278,0,935.6704,439.154
1680002205292,0,935.6704,439.154
1680002205306,0,935.6704,439.154
1680002205320,0,935.6704,439.154
1680002205334,0,935.6704,439.154
1680002205348,0,935.6704,439.154
1680002205362,0,935.6704,439.154
1680002205376,0,935.6704,439.154
1680002205390,0,935.6704,439.154
1680002205403,0,935.6704,439.154
1680002205417,0,935.6704,439.154
1680002205432,0,935.6704,439.154
1680002205446,0,935.6704,439.154
1680002205460,0,935.6704,439.154
1680002205474,0,935.6704,439.154
1680002205488,0,935.6704,439.154
1680002205502,0,935.6704,439.154
1680002205515,0,935.6704,439.154
1680002205529,0,935.6704,439.154
1680002205543,0,935.6704,439.154
1680002205557,0,935.6704,439.154
1680002205572,0,935.6704,439.154
1680002205585,0,935.6706,440.7839
1680002205599,0,937.2449,445.6604
1680002205613,0,940.5515,470.0561
1680002205627,0,940.5515,513.9786
1680002205641,0,937.2445,535.1249
1680002205655,1,920.9903,562.7751
1680002205669,1,911.2551,583.9247
1680002205682,1,906.3771,590.423
1680002205696,0,903.0747,595.3048
1680002205711,1,903.0746,595.3048
1680002205725,1,903.0747,595.3048
1680002205739,1,903.0747,595.3048
1680002205753,1,903.0742,595.3048
1680002205766,1,903.0747,595.3047
1680002205780,1,903.0748,595.3048
1680002205794,1,903.0743,595.3048
1680002205808,1,903.0747,595.3047
1680002205822,1,903.0745,595.3048
1680002205836,1,903.0747,595.3047
1680002205850,1,903.0748,595.3048
1680002205864,1,901.4996,595.3038
1680002205879,1,901.4997,596.9272
1680002205892,0,901.4996,600.1805
1680002205906,0,901.5001,601.8107
1680002205921,0,901.4999,603.4341
1680002205934,0,901.4999,603.4341
1680002205949,0,901.4999,603.4341
1680002205963,0,901.4999,603.4341
1680002205977,0,901.4999,603.4341
1680002205990,0,901.4999,603.4341
1680002206008,0,901.4999,603.4341
1680002206018,1,901.4999,603.4341
1680002206038,1,901.4998,603.4341
1680002206052,1,901.5001,603.4341
1680002206066,1,901.5002,603.4341
1680002206080,1,901.4998,603.434
1680002206094,1,901.5002,603.4341
1680002206107,1,901.4997,603.4341
1680002206121,1,901.5,603.4341
1680002206135,1,901.4998,603.4341
1680002206149,1,901.4995,603.4341
1680002206163,1,901.4995,605.0641
1680002206177,0,899.8801,606.692
1680002206191,0,898.2598,609.9506
1680002206205,0,898.2596,613.2043
1680002206219,0,896.5773,614.82
1680002206233,0,895.0026,619.7023
1680002206246,0,891.7615,626.2211
1680002206260,0,888.5054,631.0876
1680002206274,0,888.5051,634.3411
1680002206288,0,888.5051,634.3411
1680002206302,0,888.5051,634.3411
1680002206317,0,888.5051,634.3411
1680002206331,0,888.5051,634.3411
1680002206344,0,888.5051,634.3411
1680002206359,0,888.5051,634.3411
1680002206372,0,888.5051,634.3411
1680002206386,0,888.5051,634.3411
1680002206400,0,888.5051,634.3411
1680002206414,0,888.5051,634.3411
1680002206429,0,888.5051,634.3411
1680002206441,0,888.5051,634.3411
1680002206455,0,888.5051,634.3411
1680002206469,0,888.5051,634.3411
1680002206484,0,888.5051,634.3411
1680002206497,0,888.5051,634.3411
1680002206511,0,885.2034,635.9609
1680002206525,0,885.2034,635.9609
1680002206539,0,885.2034,635.9609
1680002206553,0,883.5822,635.9674
1680002206566,0,880.3866,635.9723
1680002206580,0,880.3866,635.9723
1680002206595,0,878.7057,635.9622
1680002206609,0,878.7057,635.9622
1680002206622,0,877.0844,635.9688
1680002206636,0,873.8302,635.957
1680002206650,0,872.2083,632.7101
1680002206664,0,872.2083,629.4634
1680002206679,0,870.5864,626.2157
1680002206692,0,870.5864,626.2157
1680002206706,0,870.5864,626.2157
1680002206720,0,870.5864,626.2157
1680002206744,0,870.5867,624.5856
1680002206753,0,870.5865,621.3317
1680002206767,0,870.5865,621.3317
1680002206781,0,872.2086,618.0728
1680002206795,0,872.2086,618.0728
1680002206809,0,872.2086,618.0728
1680002206823,0,872.2086,618.0728
1680002206836,0,872.2086,618.0728
1680002206851,0,872.2086,618.0728
1680002206865,0,872.2086,618.0728
1680002206879,0,872.2086,618.0728
1680002206892,0,872.2086,618.0728
1680002206906,0,872.2086,618.0728
1680002206920,0,872.2086,618.0728
1680002206934,0,872.2086,618.0728
1680002206960,0,872.2086,618.0728
1680002206969,0,872.2086,613.1957
1680002206983,0,872.2083,611.5657
1680002206999,0,872.2084,608.319
1680002207011,0,872.2085,605.0654
1680002207026,0,872.2084,601.812
1680002207038,0,872.2083,595.3049
1680002207052,0,872.2083,583.9208
1680002207066,0,872.2082,575.7838
1680002207080,0,877.0843,551.3862
1680002207094,0,881.9609,538.3783
1680002207109,0,885.2032,526.9882
1680002207122,0,886.8844,523.7332
1680002207136,0,886.8846,522.1096
1680002207150,0,886.8846,522.1096
1680002207164,0,886.8843,520.4861
1680002207178,0,886.8843,518.8558
