timestamp,state,x,y
1688627528814,1,3.527021,193.03,0
1688627528814,1,3.527021,193.03,1
1688627528814,1,3.527021,193.03,2
1688627528823,1,-6.46038,179.3154,0
1688627528823,1,-6.46038,179.3154,1
1688627528823,1,-6.46038,179.3154,2
1688627528834,1,-5.694579,179.4999,0
1688627528834,1,-5.694579,179.4999,1
1688627528834,1,-5.694579,179.4999,2
1688627528847,1,-5.872725,179.4131,0
1688627528847,1,-5.872725,179.4131,1
1688627528847,1,-5.872725,179.4131,2
1688627528864,1,-5.773686,178.0476,0
1688627528864,1,-5.773686,178.0476,1
1688627528864,1,-5.773686,178.0476,2
1688627528879,1,5.480765,191.7398,0
1688627528879,1,5.480765,191.7398,1
1688627528879,1,5.480765,191.7398,2
1688627528892,1,5.548715,191.4341,0
1688627528892,1,5.548715,191.4341,1
1688627528892,1,5.548715,191.4341,2
1688627528909,1,3.553199,189.065,0
1688627528909,1,3.553199,189.065,1
1688627528909,1,3.553199,189.065,2
1688627528928,1,-0.2622127,183.3118,0
1688627528928,1,-0.2622127,183.3118,1
1688627528928,1,-0.2622127,183.3118,2
1688627528945,1,-2.607488,181.7344,0
1688627528945,1,-2.607488,181.7344,1
1688627528945,1,-2.607488,181.7344,2
1688627528963,1,-3.43132,181.3921,0
1688627528963,1,-3.43132,181.3921,1
1688627528963,1,-3.43132,181.3921,2
1688627528985,1,-4.063081,179.3057,0
1688627528985,1,-4.063081,179.3057,1
1688627528985,1,-4.063081,179.3057,2
1688627529006,1,-5.046939,178.3263,0
1688627529006,1,-5.046939,178.3263,1
1688627529006,1,-5.046939,178.3263,2
1688627529029,1,-6.404828,178.1032,0
1688627529029,1,-6.404828,178.1032,1
1688627529029,1,-6.404828,178.1032,2
1688627529043,1,-5.535363,178.0637,0
1688627529043,1,-5.535363,178.0637,1
1688627529043,1,-5.535363,178.0637,2
1688627529063,1,-4.873704,177.511,0
1688627529063,1,-4.873704,177.511,1
1688627529063,1,-4.873704,177.511,2
1688627529080,1,-3.988027,178.319,0
1688627529080,1,-3.988027,178.319,1
1688627529080,1,-3.988027,178.319,2
1688627529097,1,-3.707122,179.813,0
1688627529097,1,-3.707122,179.813,1
1688627529097,1,-3.707122,179.813,2
1688627529112,1,-3.076744,180.5923,0
1688627529112,1,-3.076744,180.5923,1
1688627529112,1,-3.076744,180.5923,2
1688627529129,1,-3.714132,181.8691,0
1688627529129,1,-3.714132,181.8691,1
1688627529129,1,-3.714132,181.8691,2
1688627529145,1,-3.370904,182.8702,0
1688627529145,1,-3.370904,182.8702,1
1688627529145,1,-3.370904,182.8702,2
1688627529162,1,-2.56133,182.7492,0
1688627529162,1,-2.56133,182.7492,1
1688627529162,1,-2.56133,182.7492,2
1688627529179,1,-1.687813,180.2785,0
1688627529179,1,-1.687813,180.2785,1
1688627529179,1,-1.687813,180.2785,2
1688627529194,1,-0.1975059,179.9093,0
1688627529194,1,-0.1975059,179.9093,1
1688627529194,1,-0.1975059,179.9093,2
1688627529209,1,0.879526,179.4011,0
1688627529209,1,0.879526,179.4011,1
1688627529209,1,0.879526,179.4011,2
1688627529225,1,1.160145,177.5849,0
1688627529225,1,1.160145,177.5849,1
1688627529225,1,1.160145,177.5849,2
1688627529240,1,0.910282,177.9989,0
1688627529240,1,0.910282,177.9989,1
1688627529240,1,0.910282,177.9989,2
1688627529254,1,1.00956,180.1461,0
1688627529254,1,1.00956,180.1461,1
1688627529254,1,1.00956,180.1461,2
1688627529269,1,2.335357,178.924,0
1688627529269,1,2.335357,178.924,1
1688627529269,1,2.335357,178.924,2
1688627529286,1,5.630731,180.5329,0
1688627529286,1,5.630731,180.5329,1
1688627529286,1,5.630731,180.5329,2
1688627529301,1,5.890655,184.8209,0
1688627529301,1,5.890655,184.8209,1
1688627529301,1,5.890655,184.8209,2
1688627529319,1,5.072736,186.2431,0
1688627529319,1,5.072736,186.2431,1
1688627529319,1,5.072736,186.2431,2
1688627529338,1,5.844497,186.9162,0
1688627529338,1,5.844497,186.9162,1
1688627529338,1,5.844497,186.9162,2
1688627529353,1,5.257033,187.2987,0
1688627529353,1,5.257033,187.2987,1
1688627529353,1,5.257033,187.2987,2
1688627529372,1,20.26424,145.3827,0
1688627529372,1,20.26424,145.3827,1
1688627529372,1,20.26424,145.3827,2
1688627529388,0,49.65577,127.1998,0
1688627529388,0,49.65577,127.1998,1
1688627529388,0,49.65577,127.1998,2
1688627529406,0,60.96252,118.6209,0
1688627529406,0,60.96252,118.6209,1
1688627529406,0,60.96252,118.6209,2
1688627529423,0,35.55016,81.9005,0
1688627529423,0,35.55016,81.9005,1
1688627529423,0,35.55016,81.9005,2
1688627529439,0,19.83404,2.810097,0
1688627529439,0,19.83404,2.810097,1
1688627529439,0,19.83404,2.810097,2
