timestamp,level,x,y,z,pitch,yaw,roll
1695264488553,0,0.00,0.04,-0.04,353.33,6.88,357.38
1695264488579,0,0.00,0.04,-0.04,353.27,6.72,357.73
1695264488604,0,0.00,0.04,-0.04,353.47,6.35,357.96
1695264488630,0,0.00,0.04,-0.03,354.01,5.80,358.23
1695264488656,0,0.00,0.04,-0.03,354.63,5.01,358.55
1695264488683,0,0.00,0.04,-0.03,355.34,3.93,358.82
1695264488709,0,0.00,0.04,-0.03,355.94,2.82,359.02
1695264488736,0,0.00,0.04,-0.03,356.54,1.64,359.26
1695264488764,0,0.00,0.03,-0.03,357.07,0.64,359.43
1695264488791,0,-0.01,0.03,-0.02,357.61,359.66,359.70
1695264488818,0,-0.01,0.03,-0.02,358.00,358.94,359.83
1695264488845,0,-0.01,0.03,-0.02,358.27,358.43,359.93
1695264488871,0,-0.01,0.03,-0.02,358.40,358.13,0.01
1695264488898,0,-0.01,0.03,-0.02,358.36,357.99,0.02
1695264488924,0,-0.01,0.03,-0.02,358.25,358.10,0.00
1695264488951,0,-0.01,0.03,-0.02,358.15,358.15,0.02
1695264488979,0,-0.01,0.03,-0.02,358.08,358.33,0.00
1695264489011,0,-0.01,0.03,-0.02,358.06,358.69,0.04
1695264489044,0,-0.01,0.03,-0.02,358.20,359.13,0.04
1695264489078,0,-0.01,0.03,-0.02,358.49,359.53,359.98
1695264489111,0,-0.01,0.03,-0.02,358.76,359.82,359.87
1695264489140,0,-0.01,0.03,-0.02,358.98,0.01,359.73
1695264489168,0,-0.01,0.03,-0.02,359.03,0.07,359.63
1695264489196,0,-0.01,0.03,-0.02,359.05,0.09,359.63
1695264489223,0,-0.01,0.03,-0.02,359.07,0.11,359.62
1695264489251,0,-0.01,0.03,-0.02,359.10,0.12,359.64
1695264489278,0,-0.01,0.03,-0.02,359.12,0.10,359.67
1695264489306,0,-0.01,0.03,-0.03,359.09,0.05,359.73
1695264489334,0,-0.02,0.03,-0.03,359.04,359.97,359.80
1695264489363,0,-0.02,0.03,-0.03,359.04,359.87,359.84
1695264489391,0,-0.02,0.03,-0.03,359.06,359.73,359.86
1695264489422,0,-0.02,0.03,-0.03,359.07,359.53,0.01
1695264489450,0,-0.02,0.03,-0.03,359.03,359.22,0.33
1695264489478,0,-0.02,0.03,-0.03,358.91,358.94,0.57
1695264489505,0,-0.03,0.03,-0.03,358.75,358.66,0.85
1695264489533,0,-0.03,0.03,-0.03,358.65,358.37,1.17
1695264489560,0,-0.03,0.03,-0.03,358.61,358.10,1.46
