2023-02-16 16:03:13,851 - root - INFO - Authorization succeed.
2023-02-16 16:03:14,728 - numexpr.utils - INFO - NumExpr defaulting to 4 threads.
2023-02-16 16:03:21,317 - root - INFO - Ranges calculated.
2023-02-16 16:03:21,318 - root - INFO - --------------------------------
2023-02-16 16:03:21,318 - root - INFO - Forth: 60.20
2023-02-16 16:03:21,318 - root - INFO - Back: 54.90
2023-02-16 16:03:21,318 - root - INFO - Left: 71.60
2023-02-16 16:03:21,318 - root - INFO - Right: -59.80
2023-02-16 16:03:21,318 - root - INFO - Up: 21.20
2023-02-16 16:03:21,318 - root - INFO - Down: 60.90
2023-02-16 16:03:21,318 - root - INFO - --------------END---------------
2023-02-16 16:03:21,320 - werkzeug - INFO - 127.0.0.1 - - [16/Feb/2023 16:03:21] "[37mPOST /pingpong HTTP/1.1[0m" 200 -
2023-02-16 17:34:20,887 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\reprlib.cpython-38.pyc', reloading
2023-02-16 17:34:20,888 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\opcode.py', reloading
2023-02-16 17:34:20,889 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\opcode.cpython-38.pyc', reloading
2023-02-16 17:34:20,890 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\collections\\abc.py', reloading
2023-02-16 17:34:20,891 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\collections\\__pycache__\\abc.cpython-38.pyc', reloading
2023-02-16 17:34:20,891 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\enum.py', reloading
2023-02-16 17:34:20,892 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\enum.cpython-38.pyc', reloading
2023-02-16 17:34:20,896 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\importlib\\machinery.py', reloading
2023-02-16 17:34:20,898 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\importlib\\__pycache__\\machinery.cpython-38.pyc', reloading
2023-02-16 17:34:20,899 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\linecache.py', reloading
2023-02-16 17:34:20,900 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\linecache.cpython-38.pyc', reloading
2023-02-16 17:34:20,901 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\functools.py', reloading
2023-02-16 17:34:20,903 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\functools.cpython-38.pyc', reloading
2023-02-16 17:34:20,904 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\os.py', reloading
2023-02-16 17:34:20,904 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\os.cpython-38.pyc', reloading
2023-02-16 17:34:20,905 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\stat.py', reloading
2023-02-16 17:34:20,906 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\stat.cpython-38.pyc', reloading
2023-02-16 17:34:20,907 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\ntpath.py', reloading
2023-02-16 17:34:20,907 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\ntpath.cpython-38.pyc', reloading
2023-02-16 17:34:20,921 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\genericpath.py', reloading
2023-02-16 17:34:20,923 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\genericpath.cpython-38.pyc', reloading
2023-02-16 17:34:20,924 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\tokenize.py', reloading
2023-02-16 17:34:20,925 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\tokenize.cpython-38.pyc', reloading
2023-02-16 17:34:20,929 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\re.py', reloading
2023-02-16 17:34:20,930 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\re.cpython-38.pyc', reloading
2023-02-16 17:34:20,931 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\sre_compile.py', reloading
2023-02-16 17:34:20,934 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\sre_compile.cpython-38.pyc', reloading
2023-02-16 17:34:20,935 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\sre_parse.py', reloading
2023-02-16 17:34:20,939 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\sre_parse.cpython-38.pyc', reloading
2023-02-16 17:34:20,941 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\sre_constants.py', reloading
2023-02-16 17:34:20,942 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\sre_constants.cpython-38.pyc', reloading
2023-02-16 17:34:20,943 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\copyreg.py', reloading
2023-02-16 17:34:20,945 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\copyreg.cpython-38.pyc', reloading
2023-02-16 17:34:20,946 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\token.py', reloading
2023-02-16 17:34:20,947 - werkzeug - INFO -  * Detected change in 'D:\\Anaconda3\\Lib\\__pycache__\\token.cpython-38.pyc', reloading
